,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
44,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064251017372545024,2018-11-18 20:16:30,Twitter for iPhone,0,595,São Paulo,,
45,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064250406170226690,2018-11-18 20:14:04,Twitter for iPhone,0,595,,,
46,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249706300260352,2018-11-18 20:11:17,Twitter Web Client,0,595,"Sao Paulo, Brazil",,
47,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249603510423553,2018-11-18 20:10:52,Twitter for Android,0,595,"Guarulhos, Brasil",,
48,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249448610566144,2018-11-18 20:10:16,Twitter for Android,0,595,"Rio Grande do Sul, Brasil",,
49,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249276136607744,2018-11-18 20:09:34,Twitter for iPhone,0,595,Caxias ,,
50,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249198781104128,2018-11-18 20:09:16,Twitter Lite,0,595,,,
51,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249194767179776,2018-11-18 20:09:15,Twitter for Android,0,595,,,
52,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249134612385792,2018-11-18 20:09:01,Twitter for Android,0,595,São Paulo ,,
53,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064249100479225859,2018-11-18 20:08:53,Twitter for Android,0,595,"Minas Gerais, Brasil",,
54,Coisas que já caíram desde que Bolsonaro foi eleito:  - o dólar - a frequência da Manu nas missas - a máscara os esquerdistas que se diziam contra ditadura - a audiência do Amor &amp; Sexo  Coisas que ainda não caíram:  - os depósitos da vaquinha do Haddad,256,1064248692688019456,2018-11-18 20:07:15,Twitter for Android,0,595,Guarulhos,,
